epoch,bitfinex,bitstamp,coinapult
1547742846,3682.5,3612.39,3682.35
1547742852,3682.5,3610.02,3680.65
1547742858,3682.3,3610.02,3680.65
1547742863,3682.3,3610.02,3680.65
1547742869,3680.6,3610.02,3680.65
1547742875,3680.6,3608.00,3680.65
1547742881,3680.6,3607.70,3680.65
1547742887,3680.6,3604.12,3680.1
1547742893,3680.6,3603.63,3680.1
1547742898,3680.6,3602.88,3677.75
1547742904,3677.7,3601.23,3677.75
1547742910,3677.7,3599.81,3677.75
1547742915,3676.1,3596.52,3674.35
1547742921,3673.70176458,3601.23,3674.35
1547742927,3673.70176458,3600.50,3673.8
1547742933,3673.70176458,3600.50,3673.55
1547742938,3673.5,3600.50,3673.55
1547742944,3673.5,3600.50,3673.55
1547742950,3673.5,3600.13,3673.55
1547742956,3673.5,3601.20,3673.55
1547742961,3673.5,3601.20,3673.55
1547742967,3673.5,3601.20,3673.55
1547742972,3673.5,3604.45,3673.55
1547742978,3673.1,3604.45,3673.55
1547742985,3673.6,3603.95,3673.55
1547742991,3673.1,3603.13,3673.55
1547742996,3673.6,3600.21,3673.55
1547743002,3673.5,3601.61,3673.55
1547743008,3673.5,3600.13,3673.55
1547743014,3673.5,3599.24,3673.45
1547743019,3673.5,3606.38,3673.45
1547743025,3673.5,3600.45,3673.45
1547743031,3673.5,3600.45,3673.45
1547743036,3673.5,3600.88,3673.45
1547743042,3673.5,3600.88,3673.45
1547743047,3673.5,3601.07,3673.35
1547743053,3673.5,3599.53,3673.35
1547743059,3673.5,3600.11,3673.15
1547743065,3673.1,3600.11,3673.15
1547743070,3673.1,3600.11,3673.15
1547743076,3673.1,3601.25,3673.15
1547743082,3673.1,3603.72,3673.15
1547743087,3673.2,3605.47,3673.15
1547743093,3673.2,3605.47,3673.15
1547743099,3673.2,3605.47,3673.15
1547743105,3673.2,3604.95,3673.15
1547743110,3673.2,3604.95,3673.15
1547743116,3673.2,3602.63,3673.15
1547743122,3673.2,3603.36,3673.15
1547743127,3673.2,3603.36,3673.15
1547743133,3673.2,3599.47,3673.15
1547743139,3673.2,3603.14,3673.15
1547743144,3673.2,3605.52,3673.15
