epoch,bitfinex,bitstamp,coinapult
1547821059,3670.9,3606.78,3671.4
1547821064,3670.9,3606.78,3671.4
1547821070,3670.9,3606.79,3671.25
1547821076,3670.9,3606.79,3671.25
1547821081,3670.9,3606.79,3671.3
1547821087,3670.9,3606.79,3671.3
1547821093,3671.0,3606.79,3671.05
1547821099,3671.0,3606.79,3671.05
1547821104,3671.0,3606.79,3671.05
1547821110,3671.0,3606.79,3671.05
1547821116,3671.0,3606.78,3671.05
1547821121,3671.0,3606.78,3671.05
1547821127,3671.0,3604.66,3671.05
1547821132,3671.0,3604.66,3671.05
1547821138,3671.0,3604.66,3671.05
1547821144,3671.0,3604.66,3671.05
1547821149,3671.0,3602.70,3671.05
1547821155,3671.0,3602.70,3671.05
1547821160,3671.0,3602.70,3671.05
1547821166,3671.0,3602.70,3671.05
1547821171,3671.0,3602.95,3671.05
1547821177,3671.0,3605.93,3671.05
1547821183,3671.0,3606.56,3671.05
1547821188,3671.0,3606.56,3671.05
1547821194,3671.0,3606.56,3671.05
1547821199,3671.0,3606.56,3671.05
1547821205,3671.0,3606.56,3671.05
1547821210,3671.0,3606.56,3671.05
1547821216,3671.0,3606.56,3671.05
1547821222,3671.0,3606.56,3671.05
1547821228,3671.0,3606.56,3671.05
1547821233,3671.0,3606.56,3671.05
1547821239,3671.0,3606.53,3671.05
1547821244,3671.0,3606.53,3671.05
1547821250,3671.0,3606.53,3671.05
1547821256,3671.0,3606.53,3671.05
1547821261,3671.0,3606.53,3671.05
1547821267,3671.0,3606.53,3671.05
1547821273,3671.0,3606.53,3671.05
1547821278,3671.1,3605.00,3671.05
1547821284,3671.1,3605.00,3670.75
1547821289,3670.7233545,3605.00,3670.75
1547821295,3670.7233545,3605.00,3670.75
1547821301,3670.7233545,3605.00,3670.75
1547821307,3670.7233545,3605.00,3670.75
1547821313,3670.7233545,3605.00,3670.75
1547821318,3670.7233545,3605.00,3670.75
1547821324,3670.7233545,3605.00,3670.75
1547821330,3670.7233545,3605.00,3670.75
1547821335,3670.7233545,3605.00,3668.15
1547821341,3668.2,3605.00,3668.15
1547821346,3669.8,3605.00,3668.15
1547821353,3668.2,3605.00,3668.15
1547821359,3668.2,3605.00,3668.15
1547821364,3668.2,3605.00,3668.55
1547821370,3669.1,3605.00,3668.55
1547821375,3668.2,3605.00,3668.7
1547821381,3669.1,3605.00,3668.7
1547821387,3669.1,3605.00,3668.4
1547821392,3668.5,3604.90,3668.4
1547821398,3668.5,3604.90,3668.4
1547821404,3668.5,3604.89,3668.4
1547821409,3668.5,3604.89,3668.35
1547821415,3668.5,3604.89,3668.35
1547821420,3668.5,3604.89,3668.35
1547821426,3668.5,3604.89,3668.35
1547821431,3669.4,3604.89,3668.35
1547821437,3669.4,3604.89,3668.6
1547821443,3669.4,3604.89,3668.6
1547821448,3668.7,3604.89,3668.6
1547821454,3668.7,3602.34,3668.6
1547821460,3668.7,3602.34,3668.65
1547821465,3668.7,3602.34,3668.65
1547821471,3668.7,3602.34,3668.65
1547821477,3668.7,3602.80,3668.7
1547821483,3668.7,3602.80,3668.7
1547821488,3668.7,3602.80,3668.7
1547821494,3668.6,3602.80,3668.7
