epoch seconds,bitstamp,bitfinex,okcoin,huobi,coinapult
1547607342,3663.1586105,3587.29,null,null,3663.15
1547607348,3663.1,3587.29,null,null,3663.15
1547607354,3663.2,3583.63,null,null,3663.15
1547607359,3663.1,3584.96,null,null,3663.15
1547607365,3663.2,3584.96,null,null,3663.15
1547607371,3663.2,3584.96,null,null,3663.15
1547607377,3663.1,3584.96,null,null,3663.15
1547607383,3663.1,3584.96,null,null,3663.15
1547607388,3663.2,3584.96,null,null,3663.15
1547607394,3663.2,3584.96,null,null,3663.15
1547607400,3663.1,3583.63,null,null,3663.15
1547607406,3663.1,3583.63,null,null,3663.15
1547607411,3663.2,3583.63,null,null,3663.15
1547607417,3663.1,3583.63,null,null,3663.15
1547607423,3663.1,3583.63,null,null,3663.15
1547607429,3663.1,3584.68,null,null,3663.15
1547607435,3663.1,3584.68,null,null,3663.15
1547607441,3663.1,3584.68,null,null,3663.15
1547607447,3663.1,3584.68,null,null,3663.15
1547607453,3663.1,3585.02,null,null,3663.15
1547607478,3663.1,3585.02,null,null,3663.15
1547607484,3663.1,3586.18,null,null,3663.15
1547607490,3663.1,3586.18,null,null,3663.15
1547607497,3663.1,3586.18,null,null,3663.15
1547607503,3663.1,3586.74,null,null,3663.15
1547607509,3663.1,3586.74,null,null,3663.15
1547607514,3663.1,3586.74,null,null,3663.15
1547607520,3663.1,3586.99,null,null,3663.15
1547607526,3663.1,3587.08,null,null,3663.15
1547607532,3663.1,3587.08,null,null,3663.15
1547607539,3663.1,3587.29,null,null,3663.15
1547607545,3663.1,3587.29,null,null,3663.15
1547607550,3663.1,3587.29,null,null,3663.15
1547607556,3663.1,3587.29,null,null,3663.15
1547607562,3663.1,3587.29,null,null,3663.15
1547607568,3663.1,3587.29,null,null,3663.15
1547607574,3663.1,3587.29,null,null,3663.15
1547607579,3664.8,3587.29,null,null,3663.15
1547607585,3664.8,3587.29,null,null,3663.15
1547607591,3664.8,3587.29,null,null,3664.75
1547607597,3664.7,3587.29,null,null,3664.75
