epoch,bitfinex,bitstamp,coinapult
1547957245,3775.0,3698.17,3775.05
1547957251,3775.0,3698.17,3775.05
1547957259,3775.0,3698.17,3775.05
1547957265,3775.0,3698.17,3775.05
1547957271,3775.0,3698.17,3775.05
1547957277,3775.0,3698.17,3775.05
1547957283,3775.0,3698.17,3775.05
1547957289,3775.1,3698.17,3775.05
1547957295,3775.1,3698.17,3775.05
1547957302,3775.1,3698.17,3775.05
1547957308,3775.1,3698.17,3775.05
1547957314,3775.1,3699.12,3775.05
1547957320,3775.1,3699.12,3775.05
1547957326,3775.1,3699.12,3775.05
1547957332,3775.1,3699.12,3775.05
1547957338,3775.1,3699.12,3775.05
1547957344,3775.1,3699.12,3775.05
1547957350,3775.1,3699.12,3775.05
1547957356,3775.0,3699.12,3775.05
1547957362,3775.0,3699.12,3775.05
1547957368,3775.0,3699.12,3775.05
1547957374,3775.0,3699.12,3775.05
1547957380,3775.0,3699.12,3775.05
1547957387,3775.0,3699.12,3775.05
1547957393,3775.0,3699.12,3775.05
1547957399,3775.0,3699.12,3775.05
1547957405,3775.0,3699.12,3775.05
1547957411,3775.0,3699.12,3775.05
1547957417,3775.0,3699.12,3775.05
1547957423,3775.0,3699.12,3775.05
1547957429,3775.0,3699.12,3775.05
1547957435,3775.0,3699.12,3775.05
1547957441,3775.0,3699.12,3775.05
1547957447,3775.0,3699.12,3775.05
1547957453,3775.0,3699.12,3775.05
1547957459,3775.0,3699.12,3775.05
1547957465,3775.0,3699.12,3775.05
1547957471,3775.0,3699.12,3775.05
1547957477,3775.0,3699.12,3775.05
1547957483,3775.0,3699.12,3775.05
1547957489,3775.0,3699.12,3775.05
1547957495,3775.1,3699.12,3775.05
1547957501,3775.0,3699.12,3775.05
1547957507,3775.1,3699.12,3775.05
1547957513,3775.1,3699.12,3775.05
1547957519,3775.1,3699.12,3775.05
1547957525,3775.1,3699.12,3775.05
1547957531,3775.1,3699.12,3775.05
1547957537,3775.1,3699.12,3775.05
1547957543,3775.1,3698.72,3775.05
1547957549,3775.1,3698.72,3775.05
1547957555,3775.1,3698.72,3775.05
1547957561,3775.1,3698.72,3775.05
1547957567,3775.1,3698.72,3775.05
1547957573,3775.1,3698.72,3775.05
1547957579,3775.1,3698.72,3775.05
1547957585,3775.1,3698.72,3775.05
1547957591,3775.1,3698.72,3775.05
1547957597,3775.1,3698.72,3775.05
1547957603,3775.1,3698.72,3775.05
1547957609,3775.1,3698.72,3775.05
1547957615,3775.1,3697.00,3775.05
1547957621,3775.09765716,3697.00,3775.05
1547957627,3775.09765716,3697.00,3775.05
1547957633,3775.09765716,3697.00,3775.05
1547957639,3775.09765716,3697.00,3775.05
1547957645,3775.09765716,3697.00,3775.05
1547957651,3775.09765716,3697.00,3775.05
1547957657,3775.09765716,3697.00,3775.05
1547957663,3775.09765716,3697.00,3775.05
1547957669,3775.09765716,3697.00,3775.05
1547957675,3775.09765716,3697.00,3775.05
1547957681,3775.1,3697.00,3775.05
1547957687,3775.1,3697.00,3775.05
1547957693,3775.1,3697.00,3775.05
1547957699,3775.1,3697.00,3775.05
1547957705,3775.1,3697.00,3775.05
1547957711,3775.09766125,3697.00,3775.05
1547957717,3775.09766125,3697.00,3775.05
1547957724,3775.09766125,3697.00,3775.05
1547957730,3775.09766125,3697.00,3775.05
1547957735,3775.09766125,3697.00,3775.05
1547957741,3775.09766125,3697.00,3775.05
1547957747,3775.09766125,3697.00,3775.05
1547957753,3775.09766125,3697.00,3775.05
1547957759,3775.09766125,3697.00,3775.05
1547957765,3775.09766125,3697.00,3775.05
1547957771,3775.09766125,3697.00,3775.05
1547957777,3775.09766125,3697.00,3775.05
1547957783,3775.09766125,3698.72,3775.05
1547957789,3775.09766125,3699.64,3775.05
1547957795,3775.09766125,3699.64,3775.05
1547957801,3775.09766125,3699.64,3775.05
1547957807,3775.09766125,3699.64,3775.05
1547957813,3775.09766125,3699.64,3775.05
1547957821,3775.09766125,3699.64,3775.05
1547957827,3775.09766125,3699.64,3775.05
1547957833,3775.09766125,3699.64,3775.05
