epoch,bitfinex,bitstamp,coinapult
1548019699,3587.4056612,3539.20,3587.55
1548019706,3587.4056612,3539.20,3587.55
1548019711,3587.4056612,3539.20,3587.55
1548019717,3587.4056612,3539.20,3587.55
1548019723,3587.4056612,3539.20,3587.55
1548019729,3587.6,3539.20,3587.55
1548019735,3587.4056612,3539.20,3587.55
1548019741,3587.4056612,3539.20,3587.55
1548019747,3587.6,3539.20,3587.55
1548019753,3587.6,3538.41,3587.55
1548019759,3587.6,3538.41,3587.55
1548019765,3587.6,3538.41,3587.55
1548019771,3587.6,3540.00,3587.55
1548019778,3587.6,3540.00,3587.55
1548019784,3587.6,3540.00,3587.55
1548019789,3587.6,3540.00,3587.55
1548019795,3587.6,3540.00,3587.55
1548019801,3587.6,3540.00,3587.55
1548019807,3587.5879666,3540.00,3587.55
1548019813,3587.5879666,3540.00,3587.55
1548019819,3587.5879666,3540.00,3589.95
1548019824,3589.6,3540.00,3589.95
1548019830,3589.6,3540.00,3589.95
1548019836,3589.6,3540.00,3589.95
1548019842,3590.0,3540.00,3589.95
1548019848,3590.0,3540.00,3589.95
1548019854,3590.0,3540.00,3589.95
1548019861,3590.0,3540.00,3589.95
1548019867,3590.0,3540.00,3589.95
1548019873,3590.0,3540.00,3589.95
1548019879,3590.0,3538.74,3589.95
1548019885,3590.0,3538.74,3589.95
1548019891,3590.0,3538.74,3589.95
1548019897,3589.9,3538.74,3589.95
1548019903,3589.9,3538.74,3589.95
1548019909,3589.9,3538.74,3589.95
1548019915,3589.9,3538.74,3589.95
1548019921,3589.9,3540.03,3589.95
1548019927,3589.9,3540.03,3589.95
1548019933,3589.9,3540.03,3589.95
1548019938,3589.97379931,3540.03,3589.95
1548019945,3589.9,3540.03,3589.95
1548019951,3589.97379931,3540.03,3589.95
1548019956,3589.97379931,3540.03,3589.95
1548019963,3589.97379931,3540.03,3589.65
1548019968,3589.97379931,3540.03,3589.65
1548019974,3589.97379931,3540.03,3589.65
1548019980,3589.97379931,3540.03,3589.65
1548019987,3589.7,3540.03,3589.65
1548019993,3589.97379931,3540.03,3589.65
1548019999,3589.7,3537.61,3589.65
1548020005,3589.7,3537.61,3589.65
1548020011,3589.7,3537.61,3589.65
1548020017,3589.7,3537.61,3589.65
1548020023,3589.7,3537.61,3589.65
1548020029,3589.7,3538.77,3589.65
1548020035,3589.7,3538.28,3589.65
1548020040,3589.7,3538.28,3589.65
1548020046,3589.7,3537.61,3589.65
1548020052,3589.7,3538.59,3589.65
1548020058,3589.7,3538.59,3589.65
1548020065,3589.7,3538.59,3589.65
1548020071,3589.7,3538.59,3589.65
1548020077,3589.6844787,3538.59,3589.65
1548020083,3589.6844787,3538.59,3589.65
1548020089,3589.6844787,3538.59,3589.65
1548020095,3589.6844787,3540.00,3589.65
1548020101,3589.6844787,3540.00,3589.65
1548020107,3589.63284954,3540.00,3589.65
1548020113,3589.6844787,3540.00,3588.6
1548020119,3589.63284954,3540.00,3588.6
1548020125,3587.770272,3540.00,3588.5
1548020131,3587.770272,3540.00,3588.5
1548020137,3587.770272,3538.59,3588.75
1548020143,3587.770272,3538.59,3588.75
1548020149,3587.770272,3538.59,3588.7
1548020154,3587.770272,3538.59,3588.6
1548020160,3587.770272,3538.59,3588.6
1548020166,3587.770272,3537.97,3588.75
1548020172,3589.3198679,3537.97,3588.75
1548020178,3589.3198679,3537.97,3588.65
1548020184,3589.3198679,3537.97,3588.65
1548020190,3588.0417506,3537.97,3588.55
1548020196,3588.0417506,3537.97,3588.4
1548020202,3588.9,3537.97,3588.4
1548020208,3588.9,3537.97,3588.05
1548020214,3588.1,3537.97,3588.05
1548020220,3588.1,3537.97,3588.05
1548020226,3589.7,3537.97,3588.95
1548020232,3588.1,3537.97,3588.95
1548020238,3589.7,3537.97,3589.65
1548020243,3589.7,3537.97,3589.65
1548020249,3589.7,3537.97,3589.65
1548020255,3589.7,3537.97,3589.65
1548020262,3589.7,3537.86,3589.65
1548020269,3589.7,3538.66,3589.65
1548020275,3589.7,3537.73,3589.65
1548020281,3589.7,3537.73,3589.65
1548020288,3589.9,3537.73,3589.95
1548020294,3589.9,3538.64,3589.95
1548020300,3589.9,3537.85,3589.95
1548020306,3589.9,3537.85,3589.95
1548020312,3589.9,3538.64,3589.65
1548020317,3589.9,3538.64,3589.75
1548020323,3589.86014939,3538.64,3589.75
1548020329,3589.86014939,3538.64,3589.75
1548020335,3589.74649946,3538.64,3589.75
1548020341,3589.74649946,3538.64,3589.75
1548020347,3589.74649946,3538.64,3589.75
1548020353,3589.74649946,3538.64,3589.75
1548020359,3589.74649946,3538.64,3589.75
1548020365,3589.74649946,3536.00,3589.75
1548020371,3589.74649946,3536.00,3589.75
1548020377,3589.74649946,3536.00,3589.75
1548020383,3589.74649946,3536.00,3589.75
1548020389,3589.74649946,3536.00,3589.75
1548020395,3589.74649946,3537.99,3589.75
1548020401,3589.74649946,3538.00,3589.75
1548020406,3589.74649946,3537.26,3589.75
1548020412,3589.74649946,3537.26,3589.75
1548020418,3589.74649946,3537.26,3589.75
1548020424,3589.7,3538.43,3589.65
1548020430,3589.7,3537.02,3589.65
1548020436,3589.7,3537.14,3589.65
1548020442,3589.7,3537.14,3589.65
1548020448,3589.6844787,3537.14,3589.65
1548020453,3589.6844787,3537.14,3589.65
1548020459,3589.6844787,3537.14,3589.65
1548020465,3589.6844787,3537.13,3589.65
1548020471,3589.6844787,3537.13,3589.65
1548020477,3589.7,3537.13,3589.65
1548020483,3589.63284954,3536.80,3589.65
1548020489,3589.63284954,3536.90,3589.65
1548020495,3589.63284954,3536.57,3589.65
1548020501,3589.63284954,3536.57,3589.65
1548020506,3589.63284954,3536.57,3589.65
1548020512,3589.63284954,3536.57,3589.65
1548020518,3589.63284954,3536.57,3589.65
1548020524,3589.63284954,3536.57,3589.65
1548020530,3589.7,3536.57,3589.65
1548020536,3589.7,3536.84,3589.65
1548020541,3589.7,3536.85,3589.65
1548020547,3589.7,3536.85,3589.65
1548020553,3589.7,3536.97,3589.65
1548020559,3589.7,3536.97,3589.65
1548020565,3589.63284954,3536.97,3589.65
1548020571,3589.63284954,3536.97,3589.65
1548020576,3589.63284954,3536.97,3589.65
1548020582,3589.7,3536.18,3589.65
1548020588,3589.7,3536.18,3589.65
1548020594,3589.63284954,3536.18,3589.65
1548020600,3589.63284954,3536.08,3589.65
1548020605,3589.63284954,3536.48,3589.65
1548020611,3589.63284954,3536.48,3589.65
1548020617,3589.63284954,3536.97,3589.65
1548020623,3589.7,3536.97,3589.65
1548020629,3589.7,3537.11,3589.65
1548020635,3589.7,3537.11,3589.65
1548020641,3589.7,3537.11,3589.65
1548020647,3589.7,3537.11,3589.65
1548020653,3589.63284954,3537.11,3589.65
1548020659,3589.63284954,3537.11,3589.65
1548020665,3589.63284954,3537.11,3589.65
1548020671,3589.63284954,3537.11,3589.65
1548020676,3589.63284954,3537.11,3589.65
1548020682,3589.63285392,3537.11,3589.65
1548020688,3589.63285392,3537.11,3589.65
1548020694,3589.63285392,3537.99,3589.65
1548020700,3589.63285392,3537.99,3589.65
1548020705,3589.63285392,3537.99,3589.65
1548020711,3589.7,3537.99,3589.65
1548020717,3589.7,3537.98,3589.65
1548020723,3589.7,3537.98,3589.65
1548020729,3589.7,3537.98,3589.85
1548020735,3589.8,3537.98,3589.85
1548020741,3589.8,3537.98,3589.85
1548020747,3589.8,3537.98,3589.85
1548020753,3589.8,3537.98,3589.85
1548020759,3589.8,3537.98,3589.85
1548020765,3589.8,3537.98,3589.85
1548020771,3589.8,3537.98,3589.85
1548020777,3589.8,3537.98,3589.85
1548020783,3589.86014939,3537.98,3589.85
1548020789,3589.86014939,3537.98,3589.85
1548020795,3589.8,3537.99,3589.85
1548020802,3589.8,3537.99,3589.85
1548020808,3589.8,3537.99,3589.85
1548020814,3589.8,3537.99,3589.85
1548020820,3589.8,3538.18,3589.85
1548020826,3589.8,3539.53,3589.85
1548020832,3589.8,3539.53,3589.85
1548020838,3589.8,3539.53,3589.85
1548020844,3589.8,3539.53,3589.85
1548020850,3589.8,3539.53,3589.85
1548020855,3589.8,3539.10,3589.85
1548020861,3589.8,3539.10,3589.85
1548020867,3589.9,3539.10,3589.85
1548020873,3589.8,3539.10,3589.85
1548020879,3589.8,3538.94,3589.85
1548020885,3589.8,3538.93,3589.85
1548020893,3589.8,3538.93,3589.85
1548020898,3589.8,3538.93,3589.85
1548020904,3589.9,3538.93,3589.85
1548020910,3589.9,3538.93,3589.85
1548020916,3589.9,3538.93,3589.85
1548020922,3589.9,3539.00,3589.85
1548020928,3589.9,3539.00,3589.85
1548020933,3589.9,3539.00,3589.75
1548020940,3589.9,3539.00,3589.75
1548020945,3589.9,3539.00,3589.75
1548020951,3589.8,3539.00,3589.75
1548020957,3589.8,3539.58,3589.75
1548020963,3589.74649946,3539.00,3589.75
1548020969,3589.8,3539.58,3589.75
1548020975,3589.74649946,3539.00,3589.75
1548020980,3589.8,3539.58,3589.75
1548020986,3589.8,3539.58,3589.75
1548020992,3589.8,3539.00,3589.75
