epoch,bitfinex,bitstamp,coinapult
1547964166,3767.1,3688.78,3767.05
1547964172,3767.1,3688.78,3767.05
1547964178,3767.1,3688.78,3767.05
1547964184,3767.1,3688.78,3767.05
1547964190,3767.0,3688.78,3767.05
1547964196,3767.1,3688.78,3767.05
1547964202,3767.0,3688.78,3767.05
1547964208,3767.0,3688.78,3767.05
1547964214,3767.0,3688.78,3767.05
1547964220,3767.0,3688.03,3767.05
1547964231,3767.0,3688.03,3767.05
1547964244,3767.0,3688.03,3767.05
1547964251,3767.0,3688.03,3767.05
1547964257,3767.0,3688.03,3767.05
1547964263,3767.0,3688.03,3767.05
1547964269,3767.0,3688.03,3767.05
1547964275,3767.0,3688.03,3767.05
1547964281,3767.0,3688.03,3767.05
1547964287,3767.0,3688.03,3767.05
1547964292,3765.3,3688.03,3767.05
1547964298,3767.0,3688.03,3766.05
1547964304,3765.3,3688.03,3766.05
1547964310,3765.3,3687.95,3766.05
1547964317,3765.3,3687.95,3766.05
1547964323,3765.5,3686.87,3765.7
1547964329,3765.3,3686.87,3765.7
1547964335,3765.5,3687.04,3763.75
1547964340,3765.5,3687.04,3765.45
1547964346,3763.8,3687.04,3765.45
1547964352,3763.9,3687.67,3765.45
1547964358,3763.9,3687.06,3765.45
1547964364,3763.9,3686.82,3764.65
1547964370,3764.0,3686.82,3763.8
1547964376,3764.0,3686.82,3763.8
1547964381,3764.0,3686.82,3763.85
1547964388,3764.0,3686.82,3763.85
1547964393,3764.0,3686.82,3763.75
1547964399,3763.72517244,3686.82,3763.75
1547964405,3764.0,3686.82,3763.95
1547964411,3763.72517244,3686.82,3763.95
1547964417,3763.72517244,3686.82,3763.95
1547964423,3763.72517244,3686.82,3763.95
1547964428,3763.72517244,3686.82,3763.95
1547964434,3763.72517244,3686.82,3763.95
1547964440,3763.72517244,3686.82,3763.95
1547964446,3763.9,3686.82,3763.85
1547964452,3763.9,3686.82,3763.85
1547964458,3763.95261814,3686.82,3763.95
1547964466,3763.95261814,3686.82,3763.95
1547964472,3763.95261814,3686.82,3763.95
1547964478,3763.9,3686.82,3763.95
1547964484,3763.9,3686.82,3763.95
1547964491,3763.9,3686.82,3763.95
1547964496,3763.9,3686.82,3763.95
1547964502,3763.9,3686.82,3763.95
1547964508,3763.9,3686.82,3763.75
1547964514,3763.9,3686.82,3763.75
1547964520,3763.9,3686.71,3763.75
1547964527,3763.9,3686.71,3763.75
1547964533,3763.9,3686.71,3763.75
1547964539,3763.9,3686.71,3763.75
1547964545,3763.9,3686.71,3763.75
1547964551,3763.9,3685.94,3763.75
1547964557,3763.9,3685.94,3763.75
1547964563,3763.9,3685.00,3763.75
1547964568,3763.9,3685.00,3763.75
1547964574,3763.9,3685.00,3763.75
1547964580,3763.9,3685.00,3763.75
1547964586,3763.8,3685.00,3763.75
1547964592,3763.8,3685.00,3763.75
1547964598,3763.72517244,3685.00,3763.75
1547964604,3763.72517244,3685.00,3762.8
1547964610,3763.72517244,3685.00,3762.8
1547964616,3763.72517244,3685.00,3762.8
1547964622,3763.72517244,3685.00,3762.85
1547964628,3762.8,3685.14,3762.8
1547964635,3762.8,3685.14,3762.8
1547964641,3762.8,3685.14,3762.85
1547964646,3762.8,3685.14,3762.85
1547964652,3762.8,3685.14,3762.85
1547964658,3762.8,3685.14,3762.85
1547964664,3762.8,3685.14,3762.85
1547964670,3762.8,3685.14,3762.85
1547964676,3762.8,3685.14,3761.45
1547964682,3761.8,3685.19,3761.45
1547964688,3761.8,3685.19,3762.85
1547964694,3761.8,3686.65,3762.85
1547964700,3761.8,3686.65,3763.95
1547964706,3761.8,3686.65,3763.95
1547964712,3761.8,3686.65,3763.95
1547964720,3764.0,3686.65,3763.95
1547964726,3764.0,3686.65,3763.75
1547964732,3764.0,3686.65,3763.7
1547964737,3764.0,3686.65,3762.4
1547964743,3764.0,3685.53,3762.4
1547964749,3764.0,3685.53,3762.0
1547964755,3764.0,3685.53,3762.0
1547964761,3764.0,3685.53,3762.6
1547964767,3764.0,3685.53,3762.6
1547964773,3764.0,3685.53,3762.55
1547964779,3764.0,3685.53,3762.55
1547964784,3764.0,3685.53,3761.9
1547964790,3764.0,3685.53,3762.05
1547964796,3764.0,3685.53,3762.05
1547964802,3764.0,3686.11,3762.05
1547964808,3762.0,3687.21,3762.05
1547964814,3762.0,3687.21,3762.05
1547964820,3762.0,3688.95,3760.55
1547964825,3760.6,3688.95,3760.55
1547964831,3760.6,3688.95,3760.55
1547964837,3760.6,3688.95,3760.55
1547964843,3760.6,3688.95,3760.55
1547964849,3760.6,3688.95,3760.55
1547964855,3760.6,3688.92,3760.55
1547964861,3760.5,3688.92,3760.55
1547964867,3760.5,3688.92,3760.55
1547964873,3760.5,3688.93,3760.55
1547964878,3760.5,3688.93,3760.55
1547964884,3760.5,3688.93,3760.55
1547964890,3760.5,3688.93,3760.55
1547964896,3760.5,3686.60,3760.55
1547964902,3760.5,3689.00,3760.55
1547964908,3760.5,3686.80,3760.55
1547964913,3760.5,3688.14,3760.55
1547964919,3760.5,3687.22,3760.55
1547964925,3760.5,3687.22,3760.55
1547964931,3760.5,3687.22,3760.55
1547964937,3760.5,3687.22,3760.55
1547964943,3760.5,3687.22,3760.55
1547964949,3760.5,3687.22,3760.55
1547964955,3760.5,3687.22,3760.55
1547964961,3760.5,3687.22,3760.55
1547964967,3760.5,3687.22,3760.55
1547964973,3760.5,3687.22,3760.55
1547964979,3760.5,3687.22,3760.55
1547964984,3760.5,3687.22,3760.55
1547964990,3760.54087557,3687.22,3760.55
1547964996,3760.54087557,3687.22,3760.55
1547965002,3760.54087557,3687.22,3760.55
1547965007,3760.54087557,3687.22,3760.55
1547965013,3760.54087557,3687.22,3760.55
1547965019,3760.6,3687.22,3760.55
1547965025,3760.6,3687.22,3760.55
1547965031,3760.6,3687.22,3760.55
1547965037,3760.6,3687.22,3760.55
1547965043,3760.6,3687.22,3760.55
1547965049,3760.6,3687.22,3760.55
1547965055,3760.6,3687.22,3760.55
1547965061,3760.6,3687.22,3760.55
1547965067,3760.6,3687.22,3760.55
1547965073,3760.6,3687.22,3760.55
1547965079,3760.5,3687.22,3760.55
1547965085,3760.5,3687.22,3760.45
1547965091,3760.5,3687.22,3760.45
1547965096,3760.5,3687.22,3760.45
1547965102,3760.4,3687.22,3760.45
1547965108,3760.5,3687.22,3760.45
1547965114,3760.4,3687.22,3760.45
1547965120,3760.4,3685.84,3760.55
1547965127,3760.6,3685.84,3760.55
1547965133,3760.6,3685.84,3760.55
1547965139,3760.6,3685.84,3760.55
1547965145,3760.6,3685.84,3760.55
1547965151,3760.6,3685.84,3760.55
1547965157,3760.6,3685.84,3760.55
1547965162,3760.6,3685.84,3760.55
1547965168,3760.6,3685.84,3760.55
1547965174,3760.6,3685.84,3760.55
1547965180,3760.6,3685.84,3760.55
1547965186,3760.6,3685.84,3760.55
1547965192,3760.6,3685.57,3760.55
1547965198,3760.6,3685.57,3760.55
1547965204,3760.6,3685.57,3760.55
1547965210,3760.6,3685.57,3760.55
1547965216,3760.6,3682.95,3760.55
1547965221,3760.6,3682.95,3760.55
1547965227,3760.6,3682.95,3760.55
1547965233,3760.6,3682.95,3760.55
1547965239,3760.6,3682.95,3760.55
1547965245,3760.6,3682.95,3760.55
1547965251,3760.6,3682.95,3760.55
1547965256,3760.6,3682.95,3760.55
1547965262,3760.6,3682.95,3760.55
1547965268,3760.6,3682.95,3760.55
1547965274,3760.6,3684.25,3760.55
1547965280,3760.5,3684.25,3760.55
1547965286,3760.5,3684.25,3760.55
1547965292,3760.5,3684.25,3760.55
1547965298,3760.6,3684.25,3760.55
1547965304,3760.5,3684.25,3760.55
1547965310,3760.6,3684.25,3760.55
1547965316,3760.6,3684.25,3760.55
1547965322,3760.6,3684.25,3760.55
1547965327,3760.5,3684.25,3760.55
1547965333,3760.5,3685.84,3760.55
1547965340,3760.5,3685.84,3760.55
1547965346,3760.5,3685.84,3760.55
1547965351,3760.5,3685.84,3760.55
1547965359,3760.5,3685.84,3760.55
1547965366,3760.5,3685.84,3760.55
1547965372,3760.5,3685.84,3760.55
1547965378,3760.5,3685.84,3760.55
1547965383,3760.5,3685.84,3760.55
1547965389,3760.5408715,3685.84,3760.55
1547965395,3760.5408715,3685.84,3760.55
1547965401,3760.5408715,3685.84,3760.55
1547965407,3760.5408715,3685.84,3760.55
1547965413,3760.5408715,3685.84,3760.55
1547965419,3760.5408715,3683.28,3760.55
1547965425,3760.5408715,3683.28,3760.55
1547965431,3760.5408715,3683.28,3760.55
1547965441,3760.5408715,3683.28,3760.55
1547965447,3760.5408715,3683.28,3760.55
1547965453,3760.6,3683.28,3760.55
1547965459,3760.6,3683.28,3760.55
1547965465,3760.6,3683.28,3760.55
1547965470,3760.6,3683.28,3760.55
1547965476,3760.6,3683.28,3760.55
1547965483,3760.6,3683.28,3760.55
1547965489,3760.6,3683.28,3760.55
1547965494,3760.5408715,3683.28,3760.55
1547965500,3760.5408715,3683.28,3760.55
1547965506,3760.5408715,3683.28,3760.55
1547965512,3760.5408715,3683.28,3760.55
1547965518,3760.5408715,3683.28,3760.55
1547965524,3760.5408715,3683.28,3760.55
1547965530,3760.5408715,3683.28,3760.55
1547965536,3760.6,3683.28,3760.55
1547965542,3760.5408715,3683.28,3760.55
1547965549,3760.5408715,3683.28,3760.55
1547965555,3760.6,3683.28,3760.55
1547965560,3760.5408715,3683.28,3760.55
